,time,state,label
319,Thu May 21 23:42:48 +0000 2020,ca,1
320,Thu May 21 23:42:43 +0000 2020,md,1
321,Thu May 21 23:42:39 +0000 2020,ky,-1
323,Thu May 21 23:42:31 +0000 2020,ca,1
324,Thu May 21 23:42:29 +0000 2020,ca,-1
325,Thu May 21 23:42:28 +0000 2020,tx,1
326,Thu May 21 23:42:21 +0000 2020,ca,-1
328,Thu May 21 23:42:12 +0000 2020,dc,-1
330,Thu May 21 23:42:05 +0000 2020,nm,-1
331,Thu May 21 23:42:02 +0000 2020,nc,1
332,Thu May 21 23:41:53 +0000 2020,tx,-1
333,Thu May 21 23:41:49 +0000 2020,ca,1
334,Thu May 21 23:41:46 +0000 2020,mo,-1
335,Thu May 21 23:41:46 +0000 2020,az,1
336,Thu May 21 23:41:42 +0000 2020,nj,1
337,Thu May 21 23:41:41 +0000 2020,or,1
338,Thu May 21 23:41:40 +0000 2020,fl,1
339,Thu May 21 23:41:40 +0000 2020,nm,-1
340,Thu May 21 23:41:23 +0000 2020,fl,-1
341,Thu May 21 23:41:06 +0000 2020,ca,1
342,Thu May 21 23:41:04 +0000 2020,nc,1
343,Thu May 21 23:41:04 +0000 2020,tx,-1
344,Thu May 21 23:41:04 +0000 2020,tx,1
345,Thu May 21 23:41:03 +0000 2020,ne,1
346,Thu May 21 23:41:02 +0000 2020,in,-1
348,Thu May 21 23:40:37 +0000 2020,fl,1
349,Thu May 21 23:40:34 +0000 2020,tx,-1
350,Thu May 21 23:40:34 +0000 2020,pa,1
351,Thu May 21 23:40:33 +0000 2020,ca,1
352,Thu May 21 23:40:32 +0000 2020,fl,1
353,Thu May 21 23:40:31 +0000 2020,ca,-1
354,Thu May 21 23:40:24 +0000 2020,ca,-1
355,Thu May 21 23:40:13 +0000 2020,ca,1
356,Thu May 21 23:40:09 +0000 2020,dc,1
357,Thu May 21 23:40:06 +0000 2020,md,1
358,Thu May 21 23:40:00 +0000 2020,az,1
359,Thu May 21 23:39:57 +0000 2020,oh,-1
360,Thu May 21 23:39:55 +0000 2020,nj,1
361,Thu May 21 23:39:54 +0000 2020,mi,-1
362,Thu May 21 23:39:51 +0000 2020,tx,1
363,Thu May 21 23:39:44 +0000 2020,or,1
364,Thu May 21 23:39:40 +0000 2020,ca,-1
365,Thu May 21 23:39:37 +0000 2020,nc,1
366,Thu May 21 23:39:35 +0000 2020,ga,-1
368,Thu May 21 23:39:34 +0000 2020,ma,-1
369,Thu May 21 23:39:31 +0000 2020,ca,-1
371,Thu May 21 23:39:25 +0000 2020,vt,-1
372,Thu May 21 23:39:23 +0000 2020,tx,-1
373,Thu May 21 23:39:17 +0000 2020,ny,1
374,Thu May 21 23:39:12 +0000 2020,vt,1
375,Thu May 21 23:39:07 +0000 2020,mi,-1
376,Thu May 21 23:39:05 +0000 2020,fl,-1
377,Thu May 21 23:39:00 +0000 2020,ny,1
379,Thu May 21 23:38:56 +0000 2020,fl,1
